test_name,broker,queue,size_bytes,rate_target,sent,duration_sec,received,errors,real_msg_per_sec,avg_latency_ms,p95_latency_ms,max_latency_ms
base_redis,redis,test_queue,1024,1000,30003,30.0,27989,0,932.95,0.37,0.87,12.0
base_rabbit,rabbit,test_queue,1024,1000,30003,30.0,28021,0,934.01,0.8,1.71,40.74
size_128_redis,redis,test_queue,128,1000,30000,30.0,27986,0,932.84,0.35,0.8,13.55
size_10kb_redis,redis,test_queue,10240,1000,30000,30.0,28009,0,933.63,0.41,0.93,10.72
size_100kb_redis,redis,test_queue,102400,1000,30000,30.0,28027,0,934.22,0.78,1.5,14.11
size_128_rabbit,rabbit,test_queue,128,1000,30000,30.0,28008,0,933.59,0.74,2.02,18.32
size_10kb_rabbit,rabbit,test_queue,10240,1000,30000,30.0,28031,0,934.34,0.83,2.07,27.8
size_100kb_rabbit,rabbit,test_queue,102400,1000,30000,30.0,28022,0,934.04,3.35,16.2,46.72
load_5000_redis,redis,test_queue,1024,5000,150000,30.0,107965,0,3598.83,407.97,771.52,948.03
load_10000_redis,redis,test_queue,1024,10000,300000,30.0,112569,0,3752.28,180.34,417.42,473.69
load_5000_rabbit,rabbit,test_queue,1024,5000,150000,31.22,123995,0,3971.96,77.19,192.5,258.43
load_10000_rabbit,rabbit,test_queue,1024,10000,300000,32.07,131158,0,4089.49,108.24,238.8,392.25
